Province/State,Country/Region,Last Update,Confirmed,Recovered,Death
Shanghai,Mainland China,1/21/2020 0:00,9,,
Yunnan,Mainland China,1/21/2020 0:00,1,,
Beijing,Mainland China,1/21/2020 0:00,10,,
Taiwan,Taiwan,1/21/2020 0:00,1,,
Jilin,Mainland China,1/21/2020 0:00,,,
Sichuan,Mainland China,1/21/2020 0:00,2,,
Tianjin,Mainland China,1/21/2020 0:00,2,,
Ningxia,Mainland China,1/21/2020 0:00,,,
Anhui,Mainland China,1/21/2020 0:00,,,
Shandong,Mainland China,1/21/2020 0:00,1,,
Guangdong,Mainland China,1/21/2020 0:00,17,,
Guangxi,Mainland China,1/21/2020 0:00,,,
Jiangxi,Mainland China,1/21/2020 0:00,2,,
Henan,Mainland China,1/21/2020 0:00,1,,
Zhejiang,Mainland China,1/21/2020 0:00,5,,
Hainan,Mainland China,1/21/2020 0:00,,,
Hubei,Mainland China,1/21/2020 0:00,270,,
Hunan,Mainland China,1/21/2020 0:00,1,,
Guizhou,Mainland China,1/21/2020 0:00,,,
Liaoning,Mainland China,1/21/2020 0:00,,,
Chongqing,Mainland China,1/21/2020 0:00,5,,
Hong Kong,Hong Kong,1/21/2020 0:00,,,
Heilongjiang,Mainland China,1/21/2020 0:00,,,
,Japan,1/21/2020 0:00,1,,
,Thailand,1/21/2020 0:00,2,,
,South Korea,1/21/2020 0:00,1,,
Washington,United States,1/21/2020 0:00,1,,
Anhui,Mainland China,1/22/2020 12:00,1,,
Beijing,Mainland China,1/22/2020 12:00,14,,
Chongqing,Mainland China,1/22/2020 12:00,6,,
Fujian,Mainland China,1/22/2020 12:00,1,,
Gansu,Mainland China,1/22/2020 12:00,,,
Guangdong,Mainland China,1/22/2020 12:00,26,,
Guangxi,Mainland China,1/22/2020 12:00,2,,
Guizhou,Mainland China,1/22/2020 12:00,1,,
Hainan,Mainland China,1/22/2020 12:00,4,,
Hebei,Mainland China,1/22/2020 12:00,1,,
Heilongjiang,Mainland China,1/22/2020 12:00,,,
Henan,Mainland China,1/22/2020 12:00,5,,
Hong Kong,Hong Kong,1/22/2020 12:00,,,
Hubei,Mainland China,1/22/2020 12:00,444,,
Hunan,Mainland China,1/22/2020 12:00,4,,
Inner Mongolia,Mainland China,1/22/2020 12:00,,,
Jiangsu,Mainland China,1/22/2020 12:00,1,,
Jiangxi,Mainland China,1/22/2020 12:00,2,,
Jilin,Mainland China,1/22/2020 12:00,,,
Liaoning,Mainland China,1/22/2020 12:00,2,,
Macau,Macau,1/22/2020 12:00,1,,
Ningxia,Mainland China,1/22/2020 12:00,1,,
Qinghai,Mainland China,1/22/2020 12:00,,,
Shaanxi,Mainland China,1/22/2020 12:00,,,
Shandong,Mainland China,1/22/2020 12:00,2,,
Shanghai,Mainland China,1/22/2020 12:00,9,,
Shanxi,Mainland China,1/22/2020 12:00,1,,
Sichuan,Mainland China,1/22/2020 12:00,5,,
Taiwan,Taiwan,1/22/2020 12:00,1,,
Tianjin,Mainland China,1/22/2020 12:00,4,,
Tibet,Mainland China,1/22/2020 12:00,,,
Washington,United States,1/22/2020 12:00,1,,
Xinjiang,Mainland China,1/22/2020 12:00,,,
Yunnan,Mainland China,1/22/2020 12:00,1,,
Zhejiang,Mainland China,1/22/2020 12:00,10,,
,Japan,1/22/2020 12:00,2,,
,Thailand,1/22/2020 12:00,2,,
,South Korea,1/22/2020 12:00,1,,
Anhui,Mainland China,1/23/2020 12:00,9,,
Beijing,Mainland China,1/23/2020 12:00,22,,
Chongqing,Mainland China,1/23/2020 12:00,9,,
Fujian,Mainland China,1/23/2020 12:00,5,,
Gansu,Mainland China,1/23/2020 12:00,2,,
Guangdong,Mainland China,1/23/2020 12:00,32,2,
Guangxi,Mainland China,1/23/2020 12:00,5,,
Guizhou,Mainland China,1/23/2020 12:00,3,,
Hainan,Mainland China,1/23/2020 12:00,5,,
Hebei,Mainland China,1/23/2020 12:00,1,,1
Heilongjiang,Mainland China,1/23/2020 12:00,2,,
Henan,Mainland China,1/23/2020 12:00,5,,
Hong Kong,Hong Kong,1/23/2020 12:00,2,,
Hubei,Mainland China,1/23/2020 12:00,444,28,17
Hunan,Mainland China,1/23/2020 12:00,9,,
Inner Mongolia,Mainland China,1/23/2020 12:00,,,
Jiangsu,Mainland China,1/23/2020 12:00,5,,
Jiangxi,Mainland China,1/23/2020 12:00,7,,
Jilin,Mainland China,1/23/2020 12:00,1,,
Liaoning,Mainland China,1/23/2020 12:00,3,,
Macau,Macau,1/23/2020 12:00,2,,
Ningxia,Mainland China,1/23/2020 12:00,1,,
Qinghai,Mainland China,1/23/2020 12:00,,,
Shaanxi,Mainland China,1/23/2020 12:00,3,,
Shandong,Mainland China,1/23/2020 12:00,6,,
Shanghai,Mainland China,1/23/2020 12:00,16,,
Shanxi,Mainland China,1/23/2020 12:00,1,,
Sichuan,Mainland China,1/23/2020 12:00,8,,
Taiwan,Taiwan,1/23/2020 12:00,1,,
Tianjin,Mainland China,1/23/2020 12:00,4,,
Tibet,Mainland China,1/23/2020 12:00,,,
Washington,United States,1/23/2020 12:00,1,,
Xinjiang,Mainland China,1/23/2020 12:00,2,,
Yunnan,Mainland China,1/23/2020 12:00,2,,
Zhejiang,Mainland China,1/23/2020 12:00,27,,
,Japan,1/23/2020 12:00,1,,
,Thailand,1/23/2020 12:00,3,,
,South Korea,1/23/2020 12:00,1,,
,Singapore,1/23/2020 12:00,1,,
,Philippines,1/23/2020 12:00,,,
,Malaysia,1/23/2020 12:00,,,
,Vietnam,1/23/2020 12:00,2,,
,Australia,1/23/2020 12:00,,,
,Mexico,1/23/2020 12:00,,,
,Brazil,1/23/2020 12:00,,,
,Colombia,1/23/2020 12:00,,,
Hubei,Mainland China,1/24/2020 0:00,549,31,24
Guangdong,Mainland China,1/24/2020 0:00,53,2,
Zhejiang,Mainland China,1/24/2020 0:00,43,1,
Beijing,Mainland China,1/24/2020 0:00,26,,
Shanghai,Mainland China,1/24/2020 0:00,20,,
Hunan,Mainland China,1/24/2020 0:00,24,,
Anhui,Mainland China,1/24/2020 0:00,15,,
Chongqing,Mainland China,1/24/2020 0:00,27,,
Sichuan,Mainland China,1/24/2020 0:00,15,,
Shandong,Mainland China,1/24/2020 0:00,9,,
Guangxi,Mainland China,1/24/2020 0:00,13,,
Fujian,Mainland China,1/24/2020 0:00,5,,
Jiangsu,Mainland China,1/24/2020 0:00,9,,
Henan,Mainland China,1/24/2020 0:00,9,,
Hainan,Mainland China,1/24/2020 0:00,8,,
Tianjin,Mainland China,1/24/2020 0:00,5,,
Jiangxi,Mainland China,1/24/2020 0:00,7,,
Shaanxi,Mainland China,1/24/2020 0:00,3,,
Guizhou,Mainland China,1/24/2020 0:00,3,,
Liaoning,Mainland China,1/24/2020 0:00,4,,
Hong Kong,Hong Kong,1/24/2020 0:00,2,,
Heilongjiang,Mainland China,1/24/2020 0:00,4,,1
Macau,Macau,1/24/2020 0:00,2,,
Xinjiang,Mainland China,1/24/2020 0:00,2,,
Gansu,Mainland China,1/24/2020 0:00,2,,
Yunnan,Mainland China,1/24/2020 0:00,2,,
